"ID";"Active (0/1)";"Name *";"Parent category";"Catégorie racine (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten"
"1";"1";"Root";"NULL";"1";;;;;"root"
"2";"1";"Accueil";"1";"0";;;;;"home"
"3";"1";"Toutes nos collections";"2";"0";;"Toutes nos collections de bougies";;"Retrouvez toutes nos collections de bougies parfumées et bougies décoratives.";"toutes-nos-collections"
"4";"1";"Thèmes et cadeaux";"2";"0";;"Thèmes et cadeaux";"bougie cadeau,bougie parfumée,coffret parfumé,bougie anniversaire";"Toutes nos bougies parfumées et décoratives par thèmes et par idées cadeaux. ";"themes-et-cadeaux"
"5";"1";"Univers parfumés";"2";"0";;;;;"univers-parfume"
"6";"1";"Univers déco";"2";"0";;"Univers déco";;"Découvrez tout l'univers déco avec l'ensemble de nos bougies de couleur, nos accessoires et nos bougies  recharge.";"univers-deco"
"7";"1";"Offres spéciales";"2";"0";;"Offres spéciales";;"Retrouvez toutes les offres spéciales de Bougies la Française : bougies et accessoires.";"offres-speciales"
"8";"0";"Box cadeaux";"2";"0";;;;;"box-cadeaux"
"9";"0";"Collection Hiver ";"2";"0";"<p>Pour l'hiver 2016, Bougies la Française vous embarque loin de la frénésie de la vie urbaine, vers des contrées sauvages. Bienvenue dans notre songe pour un Noël teinté d'esprit Trappeur ! Vous rêviez de refuge douillet et nid chaleureux, nous vous invitons à pousser la porte...</p>";"Collection Automne/Hiver 2016 de Bougies la Française ";"collection automne,collection hiver,collection 2016,collection Noël,bougie parfumée,bougie décorative,photophore,coffret parfumé";"Découvrez la collection de bougies parfumées et décoratives Automne/Hiver 2016 de Bougies la Française.";"Collection-hiver"
"11";"1";"Charme";"3";"0";"<p>Parfums à histoires, et mots calligraphiés... Nos <strong>bougies parfumées et senteurs</strong> apposent la signature d’un charme classique. De la quintessence de parfums millénaires aux effluves du boudoir d'une aïeule coquette, nos <strong>bougies parfumées</strong>, <strong>diffuseurs d’ambiance et vaporisateurs de parfums</strong> dévoilent, dans une palette en demi-teinte, une pointe de féminité… Comme une fleur nouée, brodée à notre passé…</p>
<p><a href=""/content/35-charme"">Découvrir l'ambiance</a></p>";"Bougies parfumées collection Charme";"Charme, bougies et parfums d’ambiance";"Bougies parfumées collection charme - Découvrez notre sélection de bougies pafumées, de vaporisateur de parfum et de diffuseur de parfum de la collection Charme";"charme"
"12";"1";"Quintessence";"11";"0";"<p><span>Une collection aux senteurs intemporelles… </span>Nos <strong>bougies parfumées et parfums d'ambiance</strong> vous offrent toute la quintessence olfactive d’une fragrance ayant traversé les siècles. Aux valeurs symboliques, nos <strong>parfums d’intérieurs</strong> jalonnent l’Histoire et vous accompagnent encore aujourd’hui.</p>
<p><a href=""https://www.bougies-la-francaise.com/content/32-quintessence"">Découvrez l'ambiance</a></p>";"Bougies parfumées collection Quintessence";"Quintessence, bougies, parfums d’ambiance";"Bougies parfumées Quintessence - Découvrez notre sélection de bougies pafumées, de vaporisateur de parfum et de diffuseur de parfums collection Quintessence";"quintessence"
"13";"1";"Boudoir";"11";"0";"<p>Toute la nostalgie de charmes surannés, traduite en une certaine modernité… Sortis de leur écrin, les <strong>bougies et bouquets parfumés</strong> de notre collection Boudoir révèlent les <strong>senteurs poudrées</strong> d'une époque oubliée... Mémoire revisitée d’un cabinet aux senteurs de Cologne, d’une alcôve velours à la poudre de riz, d’une aïeule coquette que l’on appelait rose.</p>
<p><a href=""/content/34-boudoir"">Découvrir l'ambiance</a></p>";"Bougies parfumées collection Boudoir";"Boudoir, bougies et parfums d’ambiance";"Bougies parfumées Boudoir - Découvrez notre sélection de bougies pafumées, de vaporisateur de parfum et de diffuseur de parfums collection Boudoir";"boudoir"
"14";"1";"Elégance";"3";"0";"<p><strong>Raffinement et élégance... </strong> Inspirées de l’architecture sublimée des beaux quartiers, soulignées par la force d’un voyage olfactif à travers les sens, une pointe de dandysme… Nos <strong>bougies parfumées</strong> se dévoilent, plus luxueuses que jamais.</p>
<p><a href=""/content/39-elegance"">Découvrir l'ambiance</a></p>";"Elégance, bougies parfumées de luxe";"Elégance, bougies parfumées de luxe";"Des bougies de luxe, une évasion olfactive… Bougies la Française vous propose de découvrir une collection de bougies parfumées design, empreintes d’élégance.";"elegance"
"15";"1";"Lounge spirit";"14";"0";"<p>Entre matières nobles et rêves d’évasions, les notes olfactives de nos <strong>bougies parfumées de luxe</strong> jouent leurs accords majeurs : <strong>Café-rhum-tabac-cuir-épices</strong>. Un cuir fauve, quelques volutes épicées, un ristretto… <strong>Le sillage emblématique d'un genre masculin…</strong> Lounge par essence.</p>
<p><a href=""/content/40-lounge"">Découvrir l'ambiance</a></p>";"Lounge spirit, bougies parfumées design";"Lounge spirit, bougies parfumées design";"Matières nobles, essences rares, rêves d’évasion… Découvrez notre collection de bougies parfumées de luxe Lounge spirit, par Bougies la Française.";"lounge-spirit"
"16";"1";"Slow time";"14";"0";"<p>Bienvenue dans un <strong>univers féminin, délicat et ressourçant</strong>. Juste le temps d’un <strong>rituel de bien-être</strong>, les binotes s’accordent en alliances transparentes, aériennes, florales ou toniques… Dans une ambiance empreinte de plénitude et de sérénité, <strong>l’eau inspire et habille nos plus belles bougies</strong>.</p>
<p><a href=""/content/47-slowtime"">Découvrir l'ambiance</a></p>";"Slow time, bougies parfumées design";"Slow time, bougies parfumées design";"Des bougies au parfum féminin, délicat et ressourçant… Découvrez notre collection Slow time : bougies parfumées design haut de gamme, par Bougies la Française.";"slow-time"
"17";"1";"Authentique";"3";"0";"<p>Le <strong>style « retro-vintage »</strong> cher à Bougies  la Française joue avec la patine du temps. Colle des écoliers, cire des antiquaires, ou petites madeleines… Les <strong>parfums d’antan</strong> recréent ces instants d’exception. Nos <strong>bougies parfumées</strong> portent en elles cet indéfinissable supplément d’âme ! Un passé réinventé, une tradition sublimée…</p>
<p><a href=""/content/33-authentique"">Découvrir l'ambiance</a></p>";"Authentique, bougies parfumées d’antan";"Authentique, bougies parfumées d’antan";"Découvrez nos senteurs les plus originales. De la colle des écoliers aux petites madeleines, Bougies la Française vous propose des bougies parfumées résolument rétro.";"authentique"
"18";"1";"Comptoir des ciriers";"17";"0";"<p><strong>Allumez la petite flamme du souvenir</strong> : un concentré de rires de lavandières, de cris d’écoliers et d’histoires d’objets rares dans la remise d’un artisan… En s’inspirant des <strong>senteurs authentiques d’antan</strong>, nos <strong>bougies parfumées vintage</strong> dévoilent les trésors d’un passé oublié.</p>
<p><a href=""/content/36-comptoirsdesciriers"">Découvrir l'ambiance</a></p>";"Comptoir des ciriers, bougies parfumées rétro";"Comptoir des ciriers, bougies parfumées rétro";"Découvrez toute notre gamme de bougies Comptoir des ciriers. En s’inspirant des senteurs d’antan, nos bougies parfumées dévoilent les trésors d’un passé oublié…";"comptoir-des-ciriers"
"19";"1";"Confiserie générale";"17";"0";"<p><strong>Souvenirs</strong> du chocolat d’antan pour les jeudis d’hiver, des biscuits dorés pour les sorties au parc, des sucres d’orge et caramels fondants les jours de fête foraine. A travers leurs <strong>parfums d’addictions</strong>, nos <strong>bougies parfumées</strong> vous plongent dans les délices d’une gourmandise tellement régressive…</p>
<p><a href=""/content/37-confiseriegenerale"">Découvrir l'ambiance</a></p>";"Confiserie générale, bougies parfumées gourmandes";"Confiserie générale, bougies parfumées gourmandes";"Des senteurs régressives emplies de gourmandise. Signées Bougies la Française, nos bougies parfumées aux saveurs d’antan vous font retomber en enfance.";"confiserie-generale"
"20";"1";"Naturelle";"3";"0";"<p>La <strong>simplicité</strong> du nom fait la force de l’idée. Nos <strong>bougies naturelles et parfums d’ambiance</strong> sont élaborés avec des matières premières d’<strong>origine végétale</strong>… En respectant son environnement proche, comme celui de la planète, on prend soin de l’autre, de soi, naturellement.</p>
<p><a href=""/content/51-naturelle"">Découvrir l'ambiance</a></p>";"Nature, parfums d’ambiance écologiques";"Nature, parfums d’ambiance écologiques";"Découvrez une collection de parfums d’ambiance placée sous le signe de la Nature : bougies naturelles, bouquets parfumés et sprays d’intérieur, Bougies la Française.";"naturelle"
"21";"1";"La Nature";"20";"0";"<p>« <strong>La Nature</strong> » un baptême de collection qui a toute la force de la simplicité… Des <strong>parfums d'ambiance naturels</strong> en provenance directe de Grasse, des mèches de bougies 100% coton, des emballages en papier recyclé et une <strong>fabrication française</strong> pour une empreinte écologique minorée… <strong>Un retour au bien-être, à l’essentiel</strong>.</p>
<p><a href=""/content/41-nature"">Découvrir l'ambiance</a></p>";"La nature, parfums d’ambiance écologiques";"La nature, parfums d’ambiance écologiques,parfum d'intérieur,bougie naturelle,diffuseur de parfum,diffuseur d'intérieur,diffuseur d'ambiance";"Bougies la Française vous propose une collection de parfums d’ambiance écologiques inspirés de la Nature : bougies naturelles, bouquets parfumés et sprays d’intérieur.";"la-nature"
"22";"1";"Tendance";"3";"0";"<p>La silhouette d’une jolie parisienne se dessine… A la pointe de la mode, notre collection de <strong>bougies Rendez-vous à Paris</strong> s’habille de noir et blanc pour <strong>un look so chic</strong> ! D’une humeur fraîche, pétillante, un tantinet taquine, suivez nos petites égéries pour <strong>une balade olfactive dans le tout Paris !</strong></p>
<p><a href=""/content/55-tendance"">Découvrir l'ambiance</a></p>";"Tendances, bougies parfumées glamour";"Tendances, bougies parfumées glamour";"Découvrez notre collection de bougies parfumée ultra tendance : Paris Mode, un design unique, des senteurs originales, un univers féminin… par Bougies la Française.";"tendance"
